,,,,,,,,,,
,ISO-NE,ME,NH,VT,CT,RI,Total MA,SEMA,WCMA,NMABO
,,,,,,,,,,
Net Energy for Load (GWh),,,,,,,,,,
2000,125394,12189,10736,6186,32009,7932,56342,,,
2001,126484,12015,10867,6094,32580,7976,56953,,,
2002,128027,11553,10938,6181,33192,8173,57992,,,
2003,130776,11692,11446,6180,33640,8348,59470,,,
2004,132517,11987,11622,6344,34159,8423,59982,15647,18739,25597
2005,136355,12209,11978,6511,35202,8650,61805,16177,19267,26361
2006,132087,11731,11758,6396,33655,8367,60180,15671,18615,25894
2007,134466,11969,11906,6461,33981,8590,61560,15876,18937,26746
2008,131754,11804,11642,6357,32964,8484,60502,15501,18499,26502
2009,126838,11406,11312,6117,31443,8131,58429,14961,17730,25738
2010,130773,11697,11570,6227,32296,8463,60519,15599,18330,26590
2011,129163,11419,11594,6159,31749,8378,59865,15451,18067,26347
2012,128081,11421,11634,6084,31350,8336,59255,15393,17867,25995
2013,129377,11767,11820,6153,31589,8426,59624,15526,17940,26158
2014,127121,12038,11683,6005,30949,8200,58246,15054,17544,25647
,,,,,,,,,,
Generation (GWh),,,,,,,,,,
2000,110195,10355,15061,5638,31874,6035,41235,,,
2001,114626,15669,15030,4923,29904,7620,41481,,,
2002,120539,16065,17199,4943,27111,10714,44507,,,
2003,127195,14736,21881,5697,27825,7720,49336,,,
2004,129459,14747,23720,5170,30096,7068,48657,27644,8361,12652
2005,131877,14249,24299,5455,30453,8788,48635,27061,8216,13358
2006,128050,12024,22411,6588,30310,9740,46977,24871,7649,14457
2007,130723,11551,23601,6035,29475,10504,49557,27324,8404,13829
2008,124749,12556,23426,6322,27617,9870,44956,24734,8438,11785
2009,119437,12377,20621,6776,28292,10335,41036,21350,7293,12392
2010,126416,12752,22656,6216,29284,11462,44047,23334,7520,13193
2011,120610,11796,20593,6275,28250,13978,39718,19444,8190,12084
2012,116942,10919,19626,6185,30406,12789,37017,18319,7389,11309
2013,112041,10149,20024,6330,30208,10847,34482,18124,7135,9222
2014,108352,9943,19811,6464,28453,10705,32976,20257,7877,4842
,,,,,,,,,,
,NEL,Generation,Net Imp/Exp,Pump,,,,,,
2000,125394,110195,17832,2633,,,,,,
2001,126484,114626,14446,2588,,,,,,
2002,128027,120539,9815,2327,,,,,,
2003,130776,127195,5441,1860,,,,,,
2004,132517,129459,4907,1849,,,,,,
2005,136355,131877,6297,1819,,,,,,
2006,132087,128050,6193,2156,,,,,,
2007,134466,130723,6146,2403,,,,,,
2008,131754,124749,9251,2247,,,,,,
2009,126838,119437,9363,1963,,,,,,
2010,130773,126416,5539,1183,,,,,,
2011,129163,120610,10142,1589,,,,,,
2012,128081,116942,12648,1509,,,,,,
2013,129377,112041,18961,1624,,,,,,
2014,127121,108352,20646,1877,,,,,,
,,,,,,,,,,
,Total,NB,NY,HQ,,,,,,
,,,,,,,,,,
"Net Imports/Exports (GWh Imports are positive, Exports are Negative)",,,,,,,,,,
2000,17832,3957,2443,11433,,,,,,
2001,14446,3523,3383,7539,,,,,,
2002,9815,2883,-407,7339,,,,,,
2003,5441,1645,-438,4235,,,,,,
2004,4907,1330,-112,3689,,,,,,
2005,6297,1620,-115,4792,,,,,,
2006,6193,1047,-877,6023,,,,,,
2007,6146,896,-2477,7727,,,,,,
2008,9251,1285,-1529,9495,,,,,,
2009,9363,1569,-3031,10826,,,,,,
2010,5539,737,-4412,9214,,,,,,
2011,10142,846,-2262,11558,,,,,,
2012,12648,643,-1073,13077,,,,,,
2013,18961,3711,1322,13928,,,,,,
2014,20646,3520,3912,13214,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Imports (GWh),,,,,,,,,,
2000,19383,3958,3989,11436,,,,,,
2001,15371,3525,4251,7596,,,,,,
2002,12421,2889,1973,7558,,,,,,
2003,9051,1784,2245,5022,,,,,,
2004,8174,1487,2293,4394,,,,,,
2005,10152,1663,3045,5445,,,,,,
2006,10762,1252,3024,6486,,,,,,
2007,12269,1173,2760,8337,,,,,,
2008,14256,1615,3020,9621,,,,,,
2009,15226,1798,2595,10833,,,,,,
2010,12781,1224,1997,9561,,,,,,
2011,15880,1294,3027,11559,,,,,,
2012,18025,1146,3801,13078,,,,,,
2013,23048,3763,5358,13928,,,,,,
2014,23253,3546,6488,13218,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Exports (GWh),,,,,,,,,,
2000,-1550,-1,-1546,-3,,,,,,
2001,-925,-1,-867,-57,,,,,,
2002,-2606,-6,-2380,-219,,,,,,
2003,-3610,-139,-2683,-787,,,,,,
2004,-3267,-157,-2405,-705,,,,,,
2005,-3855,-42,-3159,-654,,,,,,
2006,-4569,-205,-3901,-464,,,,,,
2007,-6122,-277,-5236,-609,,,,,,
2008,-5005,-330,-4548,-126,,,,,,
2009,-5863,-229,-5627,-7,,,,,,
2010,-7242,-487,-6408,-347,,,,,,
2011,-5738,-448,-5290,-1,,,,,,
2012,-5377,-503,-4874,0,,,,,,
2013,-4087,-52,-4035,0,,,,,,
2014,-2606,-26,-2575,-5,,,,,,